Hurriyat leaders kids are studying outside India &amp; poor people are #stone pelting there . Shame on #Hurriyat leaders,8
Damn shame how people are sleeping on goldlink,8
@EddieHearn  You fucking scumbag. You didn't even mention the English abusing the moments silence to Manchester victims. Shame on you.,8
it's sad the number of times i've been told that someone has seen my old fake id hanging on the wall of shame at a liquor store,8
A damn shame...,8
hey everyone  go vote because otherwise someone might try to shame you for not having awful bc opinions,8
Shame on Margaret Court. We support the name change of the arena to one that celebrates diversity @MCourtArena,8
The collestiy; noun for pwstrie  is shame. Today I ave .pshame of donut holes.,8
@swatitripathi06 Hello SWATI! I was just over in yer neighborhood but didn't see ya! Shame! Come on over to my WH - Mel's never there - OK!!,8
"\""he said the way my blues eyes shine put those Georgia stars to shame that night\""",8
21. No shame  twilight hahahahaha,0
yall don't even know my ass will Split on you so hard if you tryna give me that Shame for loving transformers?,8
I know who you are Mystery person commenting nasty. I see your still immature. I'm not in love w you anymore. You can body shame ur next gf,8
After body shaming n eating crow  @DeShobhaa Absurd article in TOI exposes her... Shame on u..limit to being antinational.. @republic,8
"\""Whatever is begun in anger ends in shame.\"" - Benjamin Franklin",8
Looks like Greg Allman died today. Shame,8
The coolest thing about growing up Catholic is that now I get to have shame fetishes @JimNorton,8
Shame the one sided,8
This is part inner shame and just part discomfort with the idea of talking in the past tense when I'm not done with school.,8
"do ya ever look at your dog and think \""oh she got fat\"" and then you think \""fuck i shouldn't fat shame my dog\"" \n\ncause same",8
In nature of this pl power to live l ven or would have betrayed their shame.,8
Clubs win 2 of 3 as the bats heat up. Chain of shame to @Kikbrunel &amp; @gilco15 and @devonsmith08 looks great in a bullets jersey.,8
I wonder if #Trump voters feel any shame?  Or are they too ignorant to grasp the depth of the international #fiasco they're responsible for?,8
I'm literally an old man. Cooked myself dinner and watched movies all night. No shame.,8
It is not a match. Shame.,8
Such a shame,8
@adgpi Kudos to our Brothers in uniform for killing 8 terrorists yesterday in J&amp;K. Shame on those traitors who support terrorists.,8
I actually tell people we're married. Damn shame.,8
@DHONIism admin  it's such a shame that we need to tell you how to behave  being a Dhoni fan you've let us down  stop your comparisons ffs.,8
Its a shame on the entire .. that a man in saffron robes has to say what a top political leader shd have the guts to say,8
People on twitter will shame you lewding futbaba who is 15 and instead cheer you on to fuck your teacher\/doctor.,8
If a man deceives me once  shame on him; if he deceives me twice  shame on me. - Italian proverb #ALDUBWalangIwanan,8
Well I'ma stick up for fandom a bit. Fuck TAW  seriously. Don't let him or ANYONE shame you for spending money on smth that makes you happy.,8
Kung makapagsalita kayo akala niyo kung sino kayo ha!  Shame on you people!,8
You got a shame sandwich with a side of shit,8
kink shame the moon,8
All the public does is slut shame her for no reason. So please people get over yourselves the more you try and bring her down the more,8
#benghazi If Obama's or Hillary's daughters were stationed at Bengazi  would they have sent help to Bengazi that night? I think YES! Shame!,8
Part of me is vague about this b\/c of unnecessary inner shame  and a genuine belief I shouldn't talk about this in the past tense yet.,8
