People disgust me. Truly disgust me.,2
You people disgust me,2
ppl literally disgust me lol,2
Trump supporters disgust me!!!,2
If you're pissed about this then you disgust me on a whole new level,2
People who blame ariana for this disgust me,2
new Alex G is not good. HVAC demo is cool. Diaspora (ex-Pure Disgust) demo is huge. Girlpool LP is huge. lots of tunes on the docket.,2
Guess what  your feelings of disgust doesn't stop terrorist  you feeling sad for the victims &amp; families isn't going to stop the next attack.,2
"The ones expressing disgust in those who don't stand during the pledge are the same ones who call homeless vets \""bums\"".",2
If you pee while you're in the shower  you disgust me,2
Its not fickle to express disgust via social media for news like that of #paris or #ManchesterArena #ManchesterBombing #victoriaday.,2
"Just seen the complex list of the \""15 best Future songs\"" guess who also threw up everywhere from the disgust...",2
Concerts are a place were everyone should feel safe and happy.. What happened is fucking unacceptable. People disgust me.,2
Tired of eating out  it disgust me now,2
"\""I disgust her\""",2
I just wanted to reassure him that i was good at it and that you lost it. But I'm so fucking done  and I feel disgust,2
"Adam Jr. = the best bachelor EVER and the funniest bit in the show's history. \""I disgust her.\"" 2 funny. #TheBachelorette @BacheloretteABC",2
"BUT THEN WHEN IT HITS SOME CELEBRITY  \""OH FUCK I GOTTA EXPRESS MY OPINION NOW\"" the upper class liberals honestly disgust me",2
.@realDonaldTrump .@POTUS why do you despise poor people? You literally disgust me every single day #ImpeachTrump,2
I am so in so much shock and disgust at the bombing in Manchester. Those were likely children. When will we stop killing each other?,2
Four Lokos disgust me,2
lmaooooo yall disgust me  redbone isn't even deep stfu,2
whats wrong with people nowadays? the person who planted that bomb  u disgust me so much i hope u live in misery,2
The men on the Bachelorette are all pigs. Heterosexuality still manages to disgust me,2
It's weird how people expect me to laugh along with them while they voice their disgust towards my stretchers.,2
If radical Islamic terrorism doesn't absolutely disgust you or piss you off  then fuck you,2
@hrhsbulls @CabCoSchools seriously hope you all reconsider the principals decision to ruin a young girls graduation...over a shirt! #disgust,2
Love  hate  pain  Anger  disgust  fear  joy  sadness  surprise Desire  happiness  interest  guilt wonder contempt   etc !!\n@realDonaldTrump,2
cofronting is strange bc i just bit into a strawberry and was hit with both enjoyment and disgust at the same time,2
Absolute heart break\/disgust at the #manchesterexplosion. People should not have to live in fear of this!Islamic terror is real.,0
i have empathy for the girls that died  and severe disgust for the parents raising them in that filth. shameful.,2
liars disgust me the most,2
Just the fact to think that they attacked an event was all fun and escape for a lot of people disgust me.,2
Customer Service Representatives that use phony empathy disgust me. Just apologize and resolve my issue. I'm a former CSR supervisor even.,2
some people\/things really disgust me,2
some of yall are fucked up. using a worldwide tragedy just to get retweets and likes. if you're seriously acting that  you disgust me,2
Just the fact to think that they attacked an event which was all fun and escape for a lot of people disgust me.,2
Stuck up girls disgust me,2
make her disgust!\n\n @realDonaldTrump\n #100MillionFollowers4Trump,2
This world is unfair and it disgust me,2
i can't believe some people are making jokes about this tragedy  im truly disgust,2
admire Paresh Rawal as actor  but his tweet on Arundhati Roy makes disgust a light expression. deflating attention from horrible lynchings?,2
U GURBS DISGUST ME YOUR MISTRUSTING AND UGGGLY EW BITCH STOP TRYNA BUM ME,2
I wonder what @AmberLPortwood is thinking after reading all these tweets from her fans and their disgust with @mattbEPT @TeenMom #TeenMomOG,2
Everyday I reach new levels of disgust with people.,2
My heart and prayers go out to everyone in Manchester and all the families involved in this awful explosion. Words can't express my disgust,2
Hey...... we ready be 7 months in 2017.\nIm actually ashamed because Ive done nothing I said I was going to.\nWow. The disgust I feel....,2
You disgust me. Pathetic loser. You are worthless. Send tribute to your queen. #findom #paypigs #cashcow #goddess,2
Targeting a concert full of children? Cowards. You disgust me.,2
Guys disgust me,2
people who post about how they want to do all these dirty things to idols disgust me,2
"\""I disgust her.\"" - AJ the doll from Lyons  France. #TheBachelorette",2
you disgust me,2
Some boys disgust me so much that I have second hand embarrassment for their mothers,2
#PrayForManchester people disgust me. i'm so sorry for @ArianaGrande and her fans.,2
My disgust for violence and terrorism has reached a new level. Concerts are an escape for me and so many others &amp; this is inhuman and sick,2
@Zak_Bagans when iam not writting everything is dream ...BeataVas own tweets..nice and disgust too we are your dream,2
The wave of disgust for @realDonaldTrump is starting to swell among true americans. Hope the investigations seal the deal to his dismisal.,2
y'all disgust me.,2
How am i supposed to concentrate for my swedish exam after what happened? People disgust me on a whole new level.,2
i disgust myself lmao,2
his hands disgust me....,2
Absolutely disgust what has happened tonight  thoughts go out to all friends and family,2
every single one of y'all disgust me,2
You disgust me to the core. As negative as it may sound  I mean every word.,2
So @SirPareshRawal cnt express his disgust towards such homegrown traitors? YES  he does and i completely understand his anger #ArundhatiRoy,2
People disgust me instead of trying  to help a country  get through a tragedy they are acting like  ignorant Aholes #PrayForManchester,2
Guess who loudly displayed their love for HBCUs and their disgust for PWIs in the middle of the store in good Ole Mississippi today....MEEEE,2
Me: Christianity could never disgust me as much as Islam.\n@JennMayers :Hold my beer,2
"\""Man Caves\"" disgust me. It's like a cubby house for a  grown man who should be King of the Castle. \""Men's Sheds\"" even sadder. Totally Soy..",2
"oh my god they're making her actually spend time with the Adam Jr. doll\n\n\""he scares me\""\n\""don't be nervous\""\n\nDoll: \""i disgust her\""\n\nim done",2
Nothing evokes more disgust out of me than Tony Blair and George w bush together  two disgusting people,0
"\""I disgust her\"" @BacheloretteABC",2
can suju antis SHUT THE FUCK UP im already so sad sistar is disbanding don't even make my day worse yall disgust me,2
